Province,Municipality,Population
Busan,Dongnae-gu,270745
Busan,Nam-gu,267731
Busan,Buk-gu,283952
Busan,Haeundae-gu,402169
Busan,Saha-gu,311757
Busan,Geumjeong-gu,232666
Busan,Gangseo-gu,137957
Busan,Yeonje-gu,209157
Busan,Suyeong-gu,176894
Busan,Sasang-gu,212586
Busan,Gijang-gun,174545
Ulsan,Jung-gu,217595
Ulsan,Nam-gu,320064
Ulsan,Dong-gu,156806
Ulsan,Buk-gu,219014
Ulsan,Ulju-gun,222538
Gyeongnam,Changwon-si,1036738
Gyeongnam,Jinju-si,348096
Gyeongnam,Tongyeong-si,128293
Gyeongnam,Sacheon-si,111105
Gyeongnam,Gimhae-si,542338
Gyeongnam,Miryang-si,104831
Gyeongnam,Geoje-si,245754
Gyeongnam,Yangsan-si,352229
Gyeongnam,Uiryeong-gun,26800
Gyeongnam,Haman-gun,64182
Gyeongnam,Changnyeong-gun,61301
Gyeongnam,Goseong-gun,51361
Gyeongnam,Namhae-gun,42958
Gyeongnam,Hadong-gun,44785
Gyeongnam,Sancheong-gun,34857
Gyeongnam,Hamyang-gun,39080
Gyeongnam,Geochang-gun,61502
Gyeongnam,Hapcheon-gun,44006
Gangwon,Chuncheon-si,282765
Gangwon,Wonju-si,354376
Gangwon,Gangneung-si,213321
Gangwon,Donghae-si,90593
Gangwon,Taebaek-si,42719
Gangwon,Sokcho-si,82665
Gangwon,Samcheok-si,65243
Gangwon,Hongcheon-gun,69242
Gangwon,Hoengseong-gun,46472
Gangwon,Yeongwol-gun,38662
Gangwon,Pyeongchang-gun,41681
Gangwon,Jeongseon-gun,36870
Gangwon,Cheorwon-gun,44699
Gangwon,Hwacheon-gun,24857
Gangwon,Yanggu-gun,22278
Gangwon,Inje-gun,31694
Gangwon,Goseong-gun,26757
Gangwon,Yangyang-gun,27946
Jeju,Jeju-si,492466
Jeju,Seogwipo-si,182169
