Province,Municipality,Sector
Jeonnam,Muan-gun,Rubber products
Jeonnam,Sinan-gun,Rubber products
Jeonnam,Yeonggwang-gun,Rubber products
Jeonnam,Yeongam-gun,Rubber products
Jeonnam,Wando-gun,Rubber products
Jeonnam,Jangheung-gun,Rubber products
Jeonnam,Jindo-gun,Rubber products
Jeonnam,Haenam-gun,Rubber products
Jeonbuk,Gochang-gun,Rubber products
Jeonbuk,Muju-gun,Rubber products
Jeonbuk,Sunchang-gun,Rubber products
Jeonbuk,Imsil-gun,Rubber products
Jeonbuk,Jinan-gun,Rubber products
Gangwon,Sokcho-si,Metal ores and non-metallic minerals
Gangwon,Hwacheon-gun,Metal ores and non-metallic minerals
Gyeonggi,Gwacheon-si,Metal ores and non-metallic minerals
Gyeonggi,Gwangmyeong-si,Metal ores and non-metallic minerals
Gyeonggi,Gunpo-si,Metal ores and non-metallic minerals
Gyeonggi,Dongducheon-si,Metal ores and non-metallic minerals
Gyeonggi,Seongnam-si,Metal ores and non-metallic minerals
Gyeonggi,Suwon-si,Metal ores and non-metallic minerals
Gyeonggi,Osan-si,Metal ores and non-metallic minerals
Gyeonggi,Uiwang-si,Metal ores and non-metallic minerals
Gyeonggi,Hanam-si,Metal ores and non-metallic minerals
Gyeongnam,Namhae-gun,Metal ores and non-metallic minerals
Gyeongbuk,Ulleung-gun,Metal ores and non-metallic minerals
Gwangju,Dong-gu,Metal ores and non-metallic minerals
Daegu,Buk-gu,Metal ores and non-metallic minerals
Daegu,Jung-gu,Metal ores and non-metallic minerals
Daejeon,Dong-gu,Metal ores and non-metallic minerals
Daejeon,Seo-gu,Metal ores and non-metallic minerals
Busan,Geumjeong-gu,Metal ores and non-metallic minerals
Busan,Sasang-gu,Metal ores and non-metallic minerals
Busan,Suyeong-gu,Metal ores and non-metallic minerals
Busan,Yeonje-gu,Metal ores and non-metallic minerals
Busan,Yeongdo-gu,Metal ores and non-metallic minerals
Seoul,Gangbuk-gu,Metal ores and non-metallic minerals
Seoul,Gangseo-gu,Metal ores and non-metallic minerals
Seoul,Gwanak-gu,Metal ores and non-metallic minerals
Seoul,Gwangjin-gu,Metal ores and non-metallic minerals
Seoul,Geumcheon-gu,Metal ores and non-metallic minerals
Seoul,Nowon-gu,Metal ores and non-metallic minerals
Seoul,Dobong-gu,Metal ores and non-metallic minerals
Seoul,Dongjak-gu,Metal ores and non-metallic minerals
Seoul,Seodaemun-gu,Metal ores and non-metallic minerals
Seoul,Seongbuk-gu,Metal ores and non-metallic minerals
Seoul,Yongsan-gu,Metal ores and non-metallic minerals
Ulsan,Dong-gu,Metal ores and non-metallic minerals
Incheon,Dong-gu,Metal ores and non-metallic minerals
Incheon,Bupyeong-gu,Metal ores and non-metallic minerals
Incheon,Yeonsu-gu,Metal ores and non-metallic minerals
Jeonnam,Gurye-gun,Metal ores and non-metallic minerals
Jeonbuk,Imsil-gun,Metal ores and non-metallic minerals
Jeonbuk,Jinan-gun,Metal ores and non-metallic minerals
Chungnam,Gyeryong-si,Metal ores and non-metallic minerals
Chungnam,Seocheon-gun,Metal ores and non-metallic minerals
Chungnam,Cheongyang-gun,Metal ores and non-metallic minerals
Chungbuk,Eumseong-gun,Metal ores and non-metallic minerals
Chungbuk,Jeungpyeong-gun,Metal ores and non-metallic minerals
Gangwon,Goseong-gun,Metal foundries
Gangwon,Sokcho-si,Metal foundries
Gangwon,Yanggu-gun,Metal foundries
Gangwon,Yangyang-gun,Metal foundries
Gangwon,Yeongwol-gun,Metal foundries
Gangwon,Inje-gun,Metal foundries
Gangwon,Jeongseon-gun,Metal foundries
Gangwon,Cheorwon-gun,Metal foundries
Gangwon,Pyeongchang-gun,Metal foundries
Gangwon,Hongcheon-gun,Metal foundries
Gangwon,Hwacheon-gun,Metal foundries
Gangwon,Hoengseong-gun,Metal foundries
Gyeonggi,Gwacheon-si,Metal foundries
Gyeonggi,Yangpyeong-gun,Metal foundries
Gyeonggi,Osan-si,Metal foundries
Gyeonggi,Uiwang-si,Metal foundries
Gyeongnam,Geochang-gun,Metal foundries
Gyeongnam,Goseong-gun,Metal foundries
Gyeongnam,Namhae-gun,Metal foundries
Gyeongnam,Sancheong-gun,Metal foundries
Gyeongnam,Tongyeong-si,Metal foundries
Gyeongnam,Hadong-gun,Metal foundries
Gyeongnam,Hapcheon-gun,Metal foundries
Gyeongbuk,Gunwi-gun,Metal foundries
Gyeongbuk,Yeongdeok-gun,Metal foundries
Gyeongbuk,Yeongyang-gun,Metal foundries
Gyeongbuk,Ulleung-gun,Metal foundries
Gyeongbuk,Uljin-gun,Metal foundries
Gyeongbuk,Cheongdo-gun,Metal foundries
Gyeongbuk,Cheongsong-gun,Metal foundries
Gwangju,Nam-gu,Metal foundries
Gwangju,Dong-gu,Metal foundries
Daegu,Suseong-gu,Metal foundries
Daejeon,Seo-gu,Metal foundries
Daejeon,Jung-gu,Metal foundries
Busan,Gijang-gun,Metal foundries
Busan,Nam-gu,Metal foundries
Busan,Dong-gu,Metal foundries
Busan,Dongnae-gu,Metal foundries
Busan,Busanjin-gu,Metal foundries
Busan,Seo-gu,Metal foundries
Busan,Suyeong-gu,Metal foundries
Busan,Yeonje-gu,Metal foundries
Busan,Jung-gu,Metal foundries
Busan,Haeundae-gu,Metal foundries
Seoul,Gangseo-gu,Metal foundries
Seoul,Gwanak-gu,Metal foundries
Seoul,Gwangjin-gu,Metal foundries
Seoul,Dobong-gu,Metal foundries
Seoul,Dongjak-gu,Metal foundries
Seoul,Mapo-gu,Metal foundries
Seoul,Seodaemun-gu,Metal foundries
Seoul,Seocho-gu,Metal foundries
Seoul,Seongbuk-gu,Metal foundries
Seoul,Songpa-gu,Metal foundries
Seoul,Eunpyeong-gu,Metal foundries
Seoul,Jungnang-gu,Metal foundries
Ulsan,Dong-gu,Metal foundries
Ulsan,Jung-gu,Metal foundries
Incheon,Ganghwa-gun,Metal foundries
Incheon,Ongjin-gun,Metal foundries
Jeonnam,Gangjin-gun,Metal foundries
Jeonnam,Goheung-gun,Metal foundries
Jeonnam,Gokseong-gun,Metal foundries
Jeonnam,Gwangyang-si,Metal foundries
Jeonnam,Gurye-gun,Metal foundries
Jeonnam,Damyang-gun,Metal foundries
Jeonnam,Sinan-gun,Metal foundries
Jeonnam,Yeosu-si,Metal foundries
Jeonnam,Wando-gun,Metal foundries
Jeonnam,Jangheung-gun,Metal foundries
Jeonnam,Jindo-gun,Metal foundries
Jeonnam,Hampyeong-gun,Metal foundries
Jeonnam,Haenam-gun,Metal foundries
