Province,Municipality,GRDP
Gyeongbuk,Yecheon-gun,1150431
Gyeongbuk,Bonghwa-gun,1163777
Gyeongbuk,Uljin-gun,2468740
Gyeongbuk,Ulleung-gun,278041
Busan,Jung-gu,3551831
Busan,Seo-gu,3414621
Busan,Dong-gu,4098015
Busan,Yeongdo-gu,2762062
Busan,Busanjin-gu,8640684
Busan,Dongnae-gu,3989457
Busan,Nam-gu,6155947
Busan,Buk-gu,3031318
Busan,Haeundae-gu,9128828
Busan,Saha-gu,7040858
Busan,Geumjeong-gu,4367027
Busan,Gangseo-gu,13426281
Busan,Yeonje-gu,6323236
Busan,Suyeong-gu,2770947
Busan,Sasang-gu,6216501
Busan,Gijang-gun,6368873
Ulsan,Jung-gu,4609103
Ulsan,Nam-gu,26062154
Ulsan,Dong-gu,7577899
Ulsan,Buk-gu,13176984
Ulsan,Ulju-gun,17937255
Gyeongnam,Changwon-si,38694382
Gyeongnam,Jinju-si,8495532
Gyeongnam,Tongyeong-si,3153775
Gyeongnam,Sacheon-si,4355391
Gyeongnam,Gimhae-si,15604555
Gyeongnam,Miryang-si,3172719
Gyeongnam,Geoje-si,8584161
Gyeongnam,Yangsan-si,10795754
Gyeongnam,Uiryeong-gun,976088
Gyeongnam,Haman-gun,3999539
Gyeongnam,Changnyeong-gun,2474636
Gyeongnam,Goseong-gun,2292902
Gyeongnam,Namhae-gun,1134093
Gyeongnam,Hadong-gun,2164021
Gyeongnam,Sancheong-gun,1096030
Gyeongnam,Hamyang-gun,1053148
Gyeongnam,Geochang-gun,1648855
Gyeongnam,Hapcheon-gun,1151431
Gangwon,Chuncheon-si,8133318
Gangwon,Wonju-si,9066919
Gangwon,Gangneung-si,6092737
Gangwon,Donghae-si,3168301
Gangwon,Taebaek-si,1025466
Gangwon,Sokcho-si,1848311
Gangwon,Samcheok-si,2606300
Gangwon,Hongcheon-gun,2427497
Gangwon,Hoengseong-gun,1753743
Gangwon,Yeongwol-gun,1300918
Gangwon,Pyeongchang-gun,1405949
Gangwon,Jeongseon-gun,1267721
Gangwon,Cheorwon-gun,2005574
Gangwon,Hwacheon-gun,1464125
Gangwon,Yanggu-gun,1016499
Gangwon,Inje-gun,1717530
Gangwon,Goseong-gun,1290653
Gangwon,Yangyang-gun,1065003
Jeju,Jeju-si,14316106
Jeju,Seogwipo-si,5299652
