Province,Municipality,Employment
Busan,Dongnae-gu,66498
Busan,Nam-gu,60150
Busan,Buk-gu,40070
Busan,Haeundae-gu,111133
Busan,Saha-gu,81091
Busan,Geumjeong-gu,67992
Busan,Gangseo-gu,107920
Busan,Yeonje-gu,61631
Busan,Suyeong-gu,38064
Busan,Sasang-gu,90507
Busan,Gijang-gun,50081
Ulsan,Jung-gu,36168
Ulsan,Nam-gu,131400
Ulsan,Dong-gu,58448
Ulsan,Buk-gu,83192
Ulsan,Ulju-gun,92183
Gyeongnam,Changwon-si,335565
Gyeongnam,Jinju-si,90888
Gyeongnam,Tongyeong-si,25185
Gyeongnam,Sacheon-si,38716
Gyeongnam,Gimhae-si,176541
Gyeongnam,Miryang-si,25442
Gyeongnam,Geoje-si,80050
Gyeongnam,Yangsan-si,111363
Gyeongnam,Uiryeong-gun,5865
Gyeongnam,Haman-gun,34422
Gyeongnam,Changnyeong-gun,18144
Gyeongnam,Goseong-gun,13238
Gyeongnam,Namhae-gun,8777
Gyeongnam,Hadong-gun,9025
Gyeongnam,Sancheong-gun,8005
Gyeongnam,Hamyang-gun,8044
Gyeongnam,Geochang-gun,14161
Gyeongnam,Hapcheon-gun,9790
Gangwon,Chuncheon-si,78501
Gangwon,Wonju-si,111745
Gangwon,Gangneung-si,60274
Gangwon,Donghae-si,22767
Gangwon,Taebaek-si,13499
Gangwon,Sokcho-si,20942
Gangwon,Samcheok-si,19056
Gangwon,Hongcheon-gun,16789
Gangwon,Hoengseong-gun,13642
Gangwon,Yeongwol-gun,10512
Gangwon,Pyeongchang-gun,11981
Gangwon,Jeongseon-gun,12638
Gangwon,Cheorwon-gun,8228
Gangwon,Hwacheon-gun,3650
Gangwon,Yanggu-gun,4047
Gangwon,Inje-gun,7687
Gangwon,Goseong-gun,8925
Gangwon,Yangyang-gun,8877
Jeju,Jeju-si,146977
Jeju,Seogwipo-si,44309
